num--0.500000,sum--0.500000,mean--0.500000,std--0.500000,skew--0.500000,kurt--0.500000,hist-0--0.500000,hist-1--0.500000,hist-2--0.500000,hist-3--0.500000,hist-4--0.500000,hist-5--0.500000,hist-6--0.500000,hist-7--0.500000,hist-8--0.500000,hist-9--0.500000,hist-10--0.500000,hist-11--0.500000,hist-12--0.500000,hist-13--0.500000,hist-14--0.500000,hist-15--0.500000,hist-16--0.500000,hist-17--0.500000,hist-18--0.500000,hist-19--0.500000,hist-20--0.500000,hist-21--0.500000,hist-22--0.500000,hist-23--0.500000,hist-24--0.500000,hist-25--0.500000,hist-26--0.500000,hist-27--0.500000,hist-28--0.500000,hist-29--0.500000,hist-30--0.500000,hist-31--0.500000,hist-32--0.500000,hist-33--0.500000,hist-34--0.500000,hist-35--0.500000,hist-36--0.500000,hist-37--0.500000,hist-38--0.500000,hist-39--0.500000,id,LMP
14273381,547214441,38.33810931,109.0147812,4.617233469,35.78993325,12364,12905,13527,14292,15086,16139,17583,19376,22193,26851,35112,50360,91088,303875,947506,1016676,698826,515264,408980,364691,366890,409733,519598,760117,1255053,2071058,2313476,876231,172462,77168,48994,34480,28282,25316,22239,18262,16156,16084,16265,18434,p001,
12992881,531163036,40.88108219,121.1837971,4.437603683,30.49522132,12331,12813,13217,14147,14691,16010,17011,18779,21013,24842,32723,59365,177963,527009,864426,691120,536012,452057,393525,358823,360653,402085,496819,698572,1091384,1660649,1944981,960613,182237,71571,45376,31085,24393,21190,18822,16435,15257,15306,15426,17326,p002,
11421977,542865706,47.52817363,102.9549993,4.352487801,33.61507891,11214,11625,12183,12603,13177,13523,14361,15122,16297,17902,20733,27938,68780,223077,474117,547138,425409,342907,297683,283563,288708,314272,378421,535116,905122,1654460,2336816,1117760,186234,79377,53760,37257,27386,22750,19979,18565,17993,17897,17990,20252,p003,
13844652,425110784,30.70577606,108.3232689,4.783343789,39.80382403,14115,14891,15694,16846,17918,19597,21266,23976,27733,32616,41128,61533,137004,482349,1072417,1093869,753616,514963,399773,366713,376329,428437,552310,803417,1267926,1830406,1793249,665844,131591,61297,41118,30990,25686,23232,20619,19161,18868,18903,19076,21022,p004,
11886475,445081455,37.4443605,107.4685755,4.082856972,29.81303206,11469,11914,12467,12886,13836,14675,15785,17165,19354,23226,30365,48471,115099,410003,865367,801065,550231,406525,334080,312596,318268,347888,417489,566343,865340,1368665,1867916,1071452,188376,65425,42036,30722,24757,21428,19500,17488,16206,16464,17007,19258,p005,53.3
14031376,565440649,40.29830353,102.0829294,4.269790589,34.65325362,12637,13013,13513,14435,15332,16205,17304,19094,21114,24445,30891,46810,100606,315250,802718,896362,675821,496579,390981,346809,340349,367120,442554,628289,1033546,1725191,2416208,1547651,279563,91286,62960,46941,38481,34267,30110,25675,22528,21808,22036,23826,p006,53.81
12848301,428431032,33.34534519,116.3922548,4.267572654,30.6101542,12361,12939,13531,14109,14992,15934,17185,19084,21608,26971,41141,105163,415155,942219,912750,618956,442787,357953,319249,311613,332458,386426,488730,699631,1086063,1619784,1712012,803180,164584,67553,48082,36114,29146,24816,20035,17015,17090,17199,17353,19523,p007,52.24
12250690,625999010,51.09908177,120.10011,4.296809251,28.31572409,11165,11596,12313,12620,12965,13709,14712,15867,17130,19398,24346,36130,73997,295597,618099,569147,454554,384860,334110,309191,306226,328356,390423,543910,910525,1706408,2492984,1152072,203596,80971,49618,36016,28793,24150,21583,19958,17940,15523,14819,16122,p008,55.96
10578356,442075645,41.79058116,108.8493383,4.519874129,35.6647527,10356,10417,10792,11199,11592,12250,12866,13968,15323,17133,21554,33866,111256,409725,631750,479083,368614,309559,275874,268054,283179,322511,409711,601935,1007781,1703541,1806086,517698,109120,56560,37979,27896,23103,20451,18974,17156,16347,16756,16839,19193,p009,
12216098,559466763,45.79750122,101.041203,4.423455518,35.41081434,10603,11227,11442,11868,12322,12984,13516,14510,15457,16975,18776,23828,60536,302324,592517,555345,419811,370534,334728,313973,318266,348516,421410,593047,1007805,1855978,2485703,997932,163072,73235,48432,35715,29284,26034,24457,22610,22003,22116,22528,25347,p010,
12496657,552085441,44.17865042,126.7582521,4.376323451,28.73853779,11082,11494,11875,12267,12787,13595,14411,15868,17266,19939,25522,44115,130275,488806,914811,710459,485036,377688,326863,311622,317045,357166,456072,675755,1120913,1823313,1949577,719823,154870,70266,43829,32542,27148,23853,19869,15453,13872,13595,14098,15760,p011,
12479678,624867468,50.07080054,120.2111011,4.601414892,32.49643642,10951,11356,11773,12194,12628,13249,13785,14575,16237,18142,23080,40119,127840,383687,591068,526111,406135,343157,310444,301846,312563,346274,430234,640531,1095402,1868622,2332392,1100856,224656,87924,48916,32365,25320,21973,19523,17332,14918,14237,14349,16127,p012,
