num--0.500000,sum--0.500000,mean--0.500000,std--0.500000,skew--0.500000,kurt--0.500000,hist-0--0.500000,hist-1--0.500000,hist-2--0.500000,hist-3--0.500000,hist-4--0.500000,hist-5--0.500000,hist-6--0.500000,hist-7--0.500000,hist-8--0.500000,hist-9--0.500000,hist-10--0.500000,hist-11--0.500000,hist-12--0.500000,hist-13--0.500000,hist-14--0.500000,hist-15--0.500000,hist-16--0.500000,hist-17--0.500000,hist-18--0.500000,hist-19--0.500000,filename,LMP
14273381,547214441,38.33810931,109.0147812,4.617233469,35.78993325,25269,27819,31225,36959,49044,85472,394963,1964182,1214090,773671,776623,1279715,3326111,3189707,249630,83474,53598,40501,32240,34699,p001,
12992881,531163036,40.88108219,121.1837971,4.437603683,30.49522132,25144,27364,30701,35790,45855,92088,704972,1555546,988069,752348,762738,1195391,2752033,2905594,253808,76461,45583,35257,30563,32752,p002,
11421977,542865706,47.52817363,102.9549993,4.352487801,33.61507891,22839,24786,26700,29483,34199,48671,291857,1021255,768316,581246,602980,913537,2559582,3454576,265611,91017,50136,38544,35890,38242,p003,
13844652,425110784,30.70577606,108.3232689,4.783343789,39.80382403,29006,32540,37515,45242,60349,102661,619353,2166286,1268579,766486,804766,1355727,3098332,2459093,192888,72108,48918,39780,37771,40098,p004,
11886475,445081455,37.4443605,107.4685755,4.082856972,29.81303206,23383,25353,28511,32950,42580,78836,525102,1666432,956756,646676,666156,983832,2234005,2939368,253801,72758,46185,36988,32670,36265,p005,53.2991962
14031376,565440649,40.29830353,102.0829294,4.269790589,34.65325362,25650,27948,31537,36398,45559,77701,415856,1699080,1172400,737790,707469,1070843,2758737,3963859,370849,109901,72748,55785,44336,45862,p006,53.80582194
12848301,428431032,33.34534519,116.3922548,4.267572654,30.6101542,25300,27640,30926,36269,48579,146304,1357374,1531706,800740,630862,718884,1188361,2705847,2515192,232137,84196,53962,37050,34289,36876,p007,52.24163374
12250690,625999010,51.09908177,120.10011,4.296809251,28.31572409,22761,24933,26674,30579,36528,60476,369594,1187246,839414,643301,634582,934333,2616933,3645056,284567,85634,52943,41541,33463,30941,p008,55.96389983
10578356,442075645,41.79058116,108.8493383,4.519874129,35.6647527,20773,21991,23842,26834,32456,55420,520981,1110833,678173,543928,605690,1011646,2711322,2323784,165680,65875,43554,36130,33103,36032,p009,
12216098,559466763,45.79750122,101.041203,4.423455518,35.41081434,21830,23310,25306,28026,32432,42604,362860,1147862,790345,648701,666782,1014457,2863783,3483635,236307,84147,55318,47067,44119,47875,p010,
12496657,552085441,44.17865042,126.7582521,4.376323451,28.73853779,22576,24142,26382,30279,37205,69637,619081,1625270,862724,638485,674211,1131827,2944226,2669400,225136,76371,51001,35322,27467,29858,p011,
12479678,624867468,50.07080054,120.2111011,4.601414892,32.49643642,22307,23967,25877,28360,34379,63199,511527,1117179,749292,612290,658837,1070765,2964024,3433248,312580,81281,47293,36855,29155,30476,p012,
12822728,632444748,49.32216826,112.4915086,4.433404866,31.68604861,22682,24272,26678,29636,34686,53182,380854,1200483,845519,646869,677365,1090309,2858416,3772441,277581,79191,51981,41372,35734,38031,p013,59.83545043
10997807,524471495,47.68873422,127.5810862,4.285763246,28.25335342,21710,23222,25326,28311,33522,62024,590504,1267793,678153,523445,570146,910698,2529931,2711747,195806,61992,35322,28584,27690,29818,p014,55.09237076
11556612,609409504,52.73253995,104.0219796,4.356361312,34.13319211,22209,23679,25531,28092,31908,42902,239491,904395,688468,553371,583206,858961,2549327,3864944,273891,81304,52717,44658,42470,47370,p015,60.65167642
11656667,466421574,40.01328802,106.9397214,4.179499328,30.27089816,23633,25930,28946,32984,39771,68802,519833,1272811,819854,644262,715801,1231388,3000334,2257831,163043,66268,43996,40629,40758,44042,p016,54.5809342
12716037,677069232,53.24530213,119.4597407,4.362438071,30.11060184,23960,25604,27760,31256,41176,69150,363861,1158530,811597,645915,659077,957654,2630622,3875069,389646,106145,68777,48881,38667,42096,p017,
11246941,510572124,45.39653262,119.06629,4.207188678,28.55992579,22924,24637,26573,29505,35735,58267,460076,1264800,785343,634239,682598,1094627,2620808,2416454,207323,77851,48325,37329,33718,36312,p018,
12120802,541349912,44.66287891,102.7307443,4.228740554,32.63872942,22048,23156,25184,28276,33262,48024,319844,1389632,872905,614842,625099,929524,2468841,3609269,266610,90707,58750,48012,41601,44497,p019,
10763250,482448977,44.82372676,109.8701536,4.226003791,32.03168512,22149,23897,26221,28680,33850,51504,562439,1042958,690940,558557,588342,909748,2509298,2671850,192085,77308,51797,45505,45732,49797,p020,
